Pubchem ID,Chi2v,MaxAbsPartialCharge,MolLogP,BCUT2D_MRHI,Kappa3,SMR_VSA5,TPSA,PEOE_VSA7,VSA_EState4,SlogP_VSA6,BCUT2D_MRLOW,Binding Energy,EState_VSA4
10133,1.391240973,0.157244917,0.641489091,-0.532763019,-0.548184456,1.166934073,-0.355284961,3.439818647,-0.090749785,-1.46095281,-0.491325909,0.744514425,0.629342467
10331,-1.082838114,0.097206404,-0.300817363,0.088969701,-0.970337176,-1.200985541,-0.792105628,-0.888376068,-0.048502688,0.19445344,-0.252008818,-0.143687847,-0.64317629
10403,-0.979896253,-1.582151416,0.30285461,-0.193355404,-0.644875801,-0.10590563,-1.370909,-0.857198278,-0.379312403,-1.46095281,0.417560682,0.738542332,0.629342467
10518,-0.447819021,-0.085851745,0.434550258,1.004033662,-0.780561651,-0.093652353,-0.35144759,-0.010035973,-0.6260136,-0.668167331,0.335383967,0.857808087,1.38129838
10680,-0.693542463,-0.498025931,0.768687814,-0.189918215,-0.818801336,-1.200985541,-1.160812969,-0.888376068,0.512964835,1.867837986,4.010868875,0.773734261,-0.632065074
10724,-0.944489837,-1.620577776,0.265032262,0.286877687,-0.948619913,-0.731665579,-1.370909,-0.612517941,0.887520615,-0.304970661,1.470823885,0.399383948,0.575589881
10976,-1.108157838,-0.93139737,0.161402241,-3.361923438,-0.00207149,-0.089119089,-1.320383623,-0.835080075,-0.379312403,-1.46095281,1.87562406,0.897539049,-0.578312489
10983,-1.182828059,-1.092980647,-0.44561432,-0.288375477,0.201040926,-0.863599012,-0.654120183,-0.812961871,3.269525387,-0.906000399,5.866334996,0.860018399,-0.980864141
1983,-1.140593688,-0.135884343,-0.078259748,0.053670728,-0.711552062,-1.032292277,-0.855102459,-0.354778987,0.023748706,-0.304970661,0.443309727,0.385375186,-0.980864141
2294,-0.942349654,-0.222669439,-0.137322034,0.657912125,-0.903761213,-0.550719038,-0.328743148,-0.857198278,-0.975994811,-0.985286675,0.390110329,-0.234207403,-0.980864141
2353,-0.017954218,-0.240916985,0.622658219,0.131654323,-0.758499344,-0.88508596,-0.991488999,0.126787239,1.767966298,0.279236181,-2.343302851,0.700851658,1.949241197
2481,-0.563040331,-0.085849594,0.162205263,0.96965538,-0.743550763,-0.550719038,-0.35144759,-0.596929047,-1.11626581,-0.620250561,0.319751575,-1.265821871,-0.980864141
2707,-0.84715034,-1.130938616,-0.352612298,1.952168668,-0.501321495,-0.955329133,-0.996925274,-1.421973148,-0.379312403,-1.46095281,0.824565514,1.043471244,-0.980864141
2719,0.004961439,-1.010734322,0.741987325,1.077908283,-0.267740824,-0.234819456,-1.174403656,1.123512799,0.838382277,-0.009759356,-3.367677553,0.570367356,0.374153492
3108,0.856885924,-0.923653611,-0.860845078,0.178863393,0.015320855,-0.262345617,0.701590811,0.272351462,0.433975467,-1.46095281,-0.719502831,0.039895553,3.000127928
323,-1.122757257,-0.727838593,0.099368773,-0.255344248,-0.956482872,-1.200985541,-1.160812969,-0.888376068,-0.182622043,0.711855837,3.728816852,0.610423186,-0.64317629
3476,1.254304607,-1.321365758,0.613704521,4.878431184,0.077365699,0.510216407,0.349671965,1.860508627,1.02893307,0.459239203,0.400231013,-0.387997135,1.327545794
3559,0.326532112,-0.991971767,0.587405542,1.058893587,-0.246378656,-0.438758895,-0.976459298,0.42349843,0.035740359,0.851011489,-3.423286774,-1.577354393,1.001451705
4064,-0.7104919,-0.545433621,-0.225694632,-0.507031324,0.119691851,-0.550719038,0.029251534,-1.139585713,5.043500803,-1.46095281,1.175896244,1.376757729,-0.175760837
4162,-0.713699487,-1.201551655,-0.167716426,0.538432822,-0.891516917,-0.382025773,-0.905627836,-0.857198278,-0.810603474,-1.46095281,0.274842413,0.070475582,-0.980864141
4472,-0.488996642,0.415730948,0.104829324,0.403112109,-0.122763614,-0.88508596,-0.281735361,-0.35585765,4.172038418,1.152438561,0.409589781,0.791146539,-0.632065074
4619,-0.061859646,-0.451176981,0.274387471,-0.075314869,-0.071115012,-0.081399076,-1.004759905,-0.003506664,-0.0963888,-0.015975124,-3.368412272,0.734316022,1.404003357
4679,0.032108373,-0.24164882,0.537537861,4.733349948,-0.430937972,-0.774100457,-0.263507851,-0.888376068,0.426464409,0.235888017,0.755141692,-0.220839267,-0.980864141
4754,-1.041163029,-0.215236741,0.460809085,-0.284619326,-0.545389939,-0.863599012,-0.975180175,-0.050273348,0.044382029,-0.067137593,2.653524487,0.890073174,-0.263830949
4780,-1.10080486,-1.095447334,-0.574017577,0.245493081,-0.528561739,-1.200985541,-0.040460695,-0.888376068,6.161959779,0.221857944,6.87096356,0.335251508,-0.980864141
4806,0.357643544,0.119859363,0.398093048,4.985740924,-0.323125347,-1.081709626,0.496291493,0.148634463,-0.370111589,1.873572399,-0.242704535,1.156995653,-0.270107457
4947,-0.932221179,2.377484857,-0.32414516,0.111656164,-0.667038551,-0.875852289,-0.20770609,-0.872787173,-0.417844678,-0.882961736,-0.317291206,-0.31614682,-0.220205699
5344,-0.248845764,0.081839347,0.289982163,4.980435458,-0.709477172,-0.744323097,-0.040300805,0.498912627,3.826311658,0.143720804,3.104775911,1.07254231,-0.980864141
5362,0.358435437,0.15713015,0.275351098,0.958327817,-0.257882576,-0.25009234,0.067785129,0.209995883,-0.716529625,1.429002563,-0.490187966,-0.31058157,-0.578312489
5541,-0.971513593,-0.456615556,-0.602753728,-0.444798692,0.534207326,-0.546185774,-0.382306444,-1.421973148,-0.379312403,-1.46095281,0.201512985,0.901352444,-0.980864141
5576,-0.99767593,-0.656944303,-0.470536115,0.373325123,-1.007801043,-0.727132315,-0.898592657,-0.812961871,-0.943776422,-1.46095281,0.347770226,-0.762535689,-0.673665643
5838,-0.529164485,-0.32851438,-0.036904102,0.774363567,-0.816167863,-0.25009234,-0.38454491,0.235068904,-0.5755566,-0.668167331,0.317965395,1.463005432,0.978746728
5842,-0.870100902,-0.085849611,-0.026504964,0.971378145,-0.805186042,-0.888105566,-0.35144759,-0.857198278,-1.168656183,-0.01738138,0.326417619,1.020007934,-0.980864141
5917,-1.02922021,-2.068884233,-0.460136977,-2.487443045,-0.982043628,-0.415765998,-0.946719678,-0.398629412,-0.379312403,-1.46095281,3.70578946,1.447982598,0.197168664
6054,-1.215292247,-0.913256762,-0.130134985,-1.722713706,-0.795363087,-1.044545554,-1.320383623,-0.894905377,0.318324563,-0.015975124,2.45552356,1.266943486,-0.578312489
6274,-1.12145915,0.113604691,-1.699561662,-0.404625438,-0.758909547,-0.897339237,-0.101698732,-1.421973148,2.051060099,-0.864314433,-1.129270293,1.440914458,-0.623884886
6306,-1.117532827,0.113616647,-1.265809196,-0.405221784,-0.678422096,-0.559952708,-0.560264498,-1.139585713,1.633532486,-1.46095281,-1.179216503,1.264900162,-0.578312489
6433,0.732144449,-2.085647076,-0.226256748,5.360107588,-0.777019097,-0.270388451,-0.552110085,-0.835080075,-0.379312403,-1.46095281,3.642513927,-0.662264043,-0.980864141
6454,-0.584788283,-0.222838104,0.15268945,0.675107,-0.831424293,-0.731665579,-0.328743148,-0.574810843,-1.068269468,0.196493303,0.383867047,-0.241400025,-0.175760837
6463,-0.723317854,0.129859277,-0.350564592,-0.106008235,-0.782789469,-1.064518844,-0.678743309,-0.932612475,-1.279696733,1.429002563,-0.573238275,-1.208517715,-0.980864141
6464,-0.700084645,-0.328512876,-0.309249097,0.73179319,-0.836564781,-0.707159025,-0.38454491,-0.879316482,-1.09666167,-0.620250561,0.292732468,-0.038115095,-0.980864141
6465,-0.86546835,-1.199671573,-0.266488162,0.515400869,-0.936192295,-0.39427905,-0.905627836,-0.857198278,-0.794041356,-1.46095281,0.289581139,-1.235688155,-0.980864141
6473,-0.733969883,-0.222670322,0.175936944,0.658779333,-0.767180293,-0.237839063,-0.328743148,-0.857198278,-0.97019469,-0.985286675,0.388916756,0.492390105,-0.175760837
6489,-0.490922996,-0.215964386,0.325861197,7.757889198,-0.300425117,-0.276667459,-0.328743148,-0.857198278,-0.379312403,-0.985286675,0.414553888,1.513542026,-0.980864141
6584,-1.566342586,-0.405114876,-0.548549726,-0.497593638,-0.483738076,-1.032292277,-1.223330129,-1.421973148,-0.379312403,-1.46095281,0.327807997,1.405740746,-0.980864141
6759,0.069370428,-0.250850404,-1.235037384,1.938084215,-0.472785246,-0.417439091,0.910247828,-0.056802657,1.369392255,-0.169462533,-2.580543089,-2.061224443,-0.283266008
6781,-0.92986231,-0.452519121,0.19854202,0.400689472,-0.608800987,-0.863599012,-0.802818287,-0.27936479,-0.100473938,-0.304970661,1.2304069,-0.475371247,-0.980864141
6847,-0.977750109,0.119881034,-0.137402336,0.388392609,-0.910374156,-1.200985541,-1.002201658,-0.94820137,-0.234322891,0.562015951,-0.24163737,0.599487,-0.305488439
6849,-0.994082198,-1.742106734,0.482811895,0.100160355,-0.914753229,-1.200985541,-0.954074638,-0.918288719,-0.282995238,0.562015951,-0.866194669,1.212384003,-0.64317629
6873,-0.790402388,2.391484305,0.011036326,0.137418754,-0.620434953,-0.863599012,-0.854622787,-0.894905377,-0.318120448,-0.304970661,-0.310116191,0.151352349,-0.980864141
7144,-1.155251699,-0.161648199,0.065730171,-1.08399547,-0.921005574,-1.032292277,-1.172804752,-0.339190092,0.250534801,-0.593966198,2.813606078,1.044883051,-0.632065074
7170,-0.989743582,-0.429844689,0.111213351,0.466944253,-0.572391404,-0.875852289,-0.950397158,-1.11746751,-0.062643053,-0.015975124,0.30822551,1.411202767,-0.980864141
7196,-1.105186424,0.120026874,-0.709354931,0.01058628,-0.966955649,-1.200985541,-0.707043916,-0.621577527,-0.322933602,-0.593966198,-0.242609462,0.113646494,-0.980864141
7361,-1.415816929,-0.421013974,-0.310614235,-2.176954323,-0.998259991,-1.04001229,-1.110287592,-0.888376068,-0.379312403,-0.374162477,2.200306005,0.761774896,-0.980864141
7410,-1.225570575,-1.618304909,0.137994143,0.179779358,-0.8862387,-1.032292277,-1.370909,-1.11746751,0.073610821,-0.015975124,1.490650438,0.55869946,-0.632065074
