PT,Chi2v,MaxAbsPartialCharge,VSA_EState7,MolLogP,BCUT2D_MRHI,MolMR,RingCount,TPSA,Kappa3,SlogP_VSA6,PEOE_VSA7,VSA_EState4,Binding Energy,SMR_VSA7,SlogP_VSA3,HeavyAtomMolWt,MinEStateIndex,BCUT2D_LOGPHI,BCUT2D_MRLOW,Kappa2,SMR_VSA5,EState_VSA1,EState_VSA4
3.866675098,3.233448966,0.331703433,1.519351852,-1.0293,5.691604589,51.196,2,61.82,0.875774163,15.91639444,0,0.180092593,-7.4004,27.16540474,21.14301595,184.114,-0.36,2.011819898,0.705435605,2.567947901,0,0,4.567099648
3.042895771,2.886530344,0.543888674,0.322037037,-1.7049,5.69127695,43.4939,1,88,2.757388143,24.26546827,17.69618563,4.252002551,-23.9971,29.82891977,11.21535881,170.103,-1.159189815,2.096899013,-0.436502692,3.909515506,12.46266245,12.01114612,5.563451492
2.990931724,3.579580488,0.543888667,2.22037037,-0.9292,5.834116611,53.6858,2,83.56,1.84535989,30.46231185,11.62981856,5.522782029,-46.1656,36.02576334,11.21535881,192.133,-1.110850813,2.177037416,-0.436457115,3.744477633,12.46266245,12.01114612,16.46637642
3.531209738,2.586108568,0.869965289,0,0.9455,5.897020943,48.3965,1,58.59,2.157161739,18.19910121,19.05647134,0.3225,-13.0473,23.7625527,4.736862954,184.106,-0.452962963,2.233357725,-0.269589033,4.504872698,6.9237372,5.969305288,0
3.36053941,2.562585095,0.869861585,0,0.3481,5.905029145,45.1741,1,89.82,1.874415096,12.13273414,12.99010427,-0.076712963,-77.6921,17.69618563,4.736862954,188.094,-0.811987906,2.33025118,-0.269898686,3.865714294,6.9237372,23.21784079,12.13273414
4.452028492,2.566992812,0.495863523,0.70912037,1.5249,5.808471086,51.4855,1,44.76,1.787420217,12.13273414,6.066367068,0.435324074,-20.5333,17.69618563,0,184.106,0.435324074,2.329963769,0.111534306,4.504872698,0,0,0
7.214940793,7.219157862,0.462823382,19.02881761,5.1443,5.687464216,103.5976,0,66.76,19.56101325,0,6.420821623,0,-13.4173,0,9.531400138,316.227,-0.953696331,2.133391652,-0.146964706,19.71127915,115.7608496,6.103966388,12.84164325
4.591336126,4.128180332,0.461987156,-6.283977807,-1.1347,5.209084915,60.8372,2,99.38,2.627768706,30.33183534,12.13273414,0,-94.7721,30.33183534,4.736862954,240.126,-1.426284958,2.233594838,-0.277056771,5.6402627,30.70589228,37.31277424,0
4.838302658,9.424493259,0.871610192,6.376863426,5.6661,6.244891357,120.7268,1,77.43,6.070326263,57.61191271,72.29589864,1.456600923,-55.6998,57.61191271,9.589074368,376.282,-1.395275416,2.436538939,-0.29911254,10.60383262,81.07318409,22.74064523,16.71931359
4.739523142,2.399679508,0.869823468,3.495,0.1756,6.032676524,43.5108,1,69.59,2.113961263,35.50555494,19.07577741,0.228194444,-173.23,35.50555494,9.531400138,172.095,-0.649302721,2.126564795,-0.297068419,3.798672318,6.9237372,11.54240982,12.15204021
4.681498416,3.597402442,0.496609861,3.579311224,1.6042,6.089992614,53.0008,2,55.76,1.625985759,35.00263936,18.57286184,1.031944444,-56.9142,35.00263936,14.26826309,196.117,-0.281108277,2.318664212,-0.111963358,3.456117061,19.44852521,0,5.57310453
5.629671992,10.0689874,0.507943894,-4.002716772,1.0161,6.178085947,140.8848,5,201.67,5.518898832,78.18514387,30.19302736,0.122196813,-109.102,83.74859536,33.27338914,556.306,-1.804611232,2.396140971,-0.344152449,11.99574287,43.41674063,78.55075187,6.076020107
3.538726632,10.28384079,0.87207382,-5.687057298,1.731,5.650651657,138.9474,6,226.42,4.242891537,54.59730362,58.65200838,-0.00148235,-30.9112,82.41456107,6.420821623,552.318,-1.674402401,2.560801772,-0.27177728,9.716024239,36.75459322,76.32986626,30.33183534
7.844056982,5.773929378,0.393686792,14.21747666,3.5677,4.651006142,84.7004,0,60.69,14.03810834,12.65495579,19.26246487,0,-24.1448,12.65495579,0,252.184,-0.772139353,2.12980099,0.037960407,15.01735609,89.25779225,12.20793278,25.68328649
4.060120482,4.494651097,0.632335028,6.496218821,1.3983,4.770216128,50.8582,2,43.29,1.491917441,0,32.10410811,0,-22.9742,5.207253025,0,166.115,-0.072916667,2.36087407,-0.939294456,3.558291074,50.6086114,0,38.64886452
4.125169263,18.73758599,0.457979662,1.903737843,3.2473,5.849952509,191.221,8,182.83,6.822362773,11.64912464,113.2183254,0.215206902,-55.2186,11.64912464,37.95257786,700.438,-0.995686078,2.696813267,-0.335843013,14.85767077,197.1793404,79.40682849,63.36049914
3.946163165,10.24999187,0.511241031,-13.62242552,-1.3155,6.087771794,133.4514,5,225.06,5.704490984,59.26810763,24.61992283,0.548160257,-72.7849,64.83155912,28.47885195,548.283,-1.751988085,2.398614516,-0.359661214,11.67699608,80.86030977,79.90587786,6.076020107
4.81423693,21.219597,0.393566318,-9.142950191,1.1828,5.267491416,213.5034,9,220.46,7.110929046,11.64912464,117.9722862,1.798598693,-74.6484,11.64912464,28.42117772,778.488,-1.696664431,2.696705538,-0.388337938,16.53682823,209.6351427,98.72455881,43.05802384
3.861917979,2.673619297,0.480987771,9.415335884,2.0438,6.008871997,53.7078,1,46.53,3.308582712,47.97445038,30.72490205,0.843382464,-30.5459,47.97445038,9.531400138,180.118,-0.126203704,2.06231238,-0.110008479,5.06677031,6.9237372,0,5.57310453
4.702948942,2.40052065,0.545466972,2.097534014,-0.1391,5.832151412,43.8126,1,80.59,2.51689431,24.27512131,23.77220574,0.471759259,-61.8093,29.8385728,4.794537184,172.095,-1.312440004,2.246329022,-0.29691972,3.620415974,0,5.969305288,6.076020107
3.71168369,4.379316561,0.328872214,3.715277778,-0.018,5.973642691,49.47,3,40.62,0.885409728,0,25.68328649,0,-12.0037,0,9.589074368,180.122,-0.114027778,2.311155146,-0.156449612,2.71551461,37.76696815,0,38.7727993
3.998162917,3.467453031,0.345252299,0.705925926,-0.3529,5.941506006,44.3954,1,58.2,2.218206071,0,12.33872767,0,-30.3109,0,9.589074368,156.1,-0.327546296,2.056280463,-0.133557841,3.559264205,26.31013685,0,0
7.944010417,5.650703254,0.393686792,16.79791987,3.0149,4.822003018,83.3364,0,60.69,13.86207594,0,12.84164325,0,-28.5248,0,0,252.184,-0.778267825,2.128507915,0.037960414,14.8409382,89.25779225,12.20793278,32.10410811
4.708862124,4.130071196,0.376686652,13.36429343,3.8469,5.287192895,78.8888,0,20.23,12.62868132,24.806996,24.68251188,0,-14.0007,24.806996,0,220.186,-0.765775147,2.047728383,0.280947093,13.62426735,57.97345495,6.103966388,12.84164325
4.745771054,4.431460531,0.544730666,2.728346403,1.1132,6.054048871,78.2078,2,109.69,3.859355336,48.54058959,41.97130694,0.40585221,-45.4962,59.66749257,4.794537184,286.178,-1.505820211,2.204649788,-0.254469475,6.446883346,0,11.87648502,6.066367068
9.252821329,14.75001222,0.455590135,3.553961663,3.4993,5.976172806,147.7664,4,138.2,4.113392555,23.80116485,88.69898411,-5.430655687,-51.7682,23.80116485,23.91501169,512.344,-1.992201442,2.735904593,-0.183409788,9.169021185,111.4069557,62.74045256,5.57310453
7.34034997,7.179943949,0.463108547,21.51026256,5.6831,5.783892209,111.6218,0,63.6,20.74273393,24.30408043,38.52492974,0,-66.9858,24.30408043,14.32593732,340.249,-0.87558083,2.096142325,-0.144554077,19.34458988,103.4221219,12.07327168,32.10410811
7.333997114,6.85369909,0.462823382,20.09282465,4.9203,5.687471407,103.5036,0,66.76,19.30293558,12.15204021,32.10410811,0,-63.063,12.15204021,9.531400138,316.227,-0.960127133,2.098274198,-0.146964521,19.45466769,102.9192063,6.103966388,25.68328649
