PT,Binding Energy,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,RingCount,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_C_O,fr_C_O_noCOO
3.866675098,-7.4004,11.67203704,-0.36,11.67203704,0.316574074,0.538462826,194.194,184.114,194.0803756,74,0.331703433,-0.327863466,0.331703433,0.327863466,1.142857143,1.785714286,2.428571429,16.16128232,10.48818799,2.110255216,-2.021517497,2.011819898,-2.369665406,5.691604589,0.705435605,3.221281081,616.528592,10.45566545,8.182701232,8.182701232,6.53658126,4.107927643,4.107927643,3.233448966,3.233448966,2.316512895,2.316512895,1.471179885,1.471179885,-1.85,1876.090171,8.735233269,2.567947901,0.875774163,79.02895702,4.567099648,0,0,0,21.14301595,6.327320075,0,11.16387794,0,0,27.16540474,18.68527746,21.14301595,0,15.91639444,61.82,0,9.589074368,11.24901029,11.16387794,4.567099648,17.94209171,18.66244361,4.983978521,0,4.039537037,27.15444822,0,0.180092593,0,0,1.519351852,0,0.375,14,0,6,6,0,6,0,2,-1.0293,51.196,0,0,0,0
3.042895771,-23.9971,10.34758472,-1.159189815,10.34758472,0.164640967,0.581936268,181.191,170.103,181.0738932,70,0.128541555,-0.543888674,0.543888674,0.128541555,1.461538462,2,2.461538462,16.36759532,10.07156368,2.071649502,-2.082585053,2.096899013,-2.687959341,5.69127695,-0.436502692,2.641763905,294.2330533,9.844934983,7.064675085,7.064675085,6.092224153,3.911947399,3.911947399,2.886530344,2.886530344,1.751775539,1.751775539,0.999881824,0.999881824,-1.55,758.7643883,9.537336245,3.909515506,2.757388143,75.61610976,20.74125945,11.79135266,12.13273414,17.69618563,6.420821623,5.969305288,20.74125945,5.969305288,12.46266245,0,29.82891977,17.11767351,11.21535881,5.563451492,24.26546827,88,12.01114612,9.901064579,5.749511833,6.420821623,5.563451492,12.13273414,12.13273414,5.733667477,5.106527395,0,10.34758472,19.30327035,4.252002551,-0.994548847,5.602987528,0.322037037,0,0.222222222,13,4,4,3,2,4,3,1,-1.7049,43.4939,0,0,1,1
2.990931724,-46.1656,10.57778282,-1.110850813,10.57778282,0.395185185,0.676720194,204.229,192.133,204.0898776,78,0.128621206,-0.543888667,0.543888667,0.128621206,1.466666667,2.2,2.933333333,16.36755355,10.06102594,2.110708096,-2.073878454,2.177037416,-2.687923122,5.834116611,-0.436457115,2.323487371,490.0485079,10.83649881,8.194811758,8.194811758,7.18154055,4.771673935,4.771673935,3.579580488,3.579580488,2.474565905,2.474565905,1.649289279,1.649289279,-1.81,3732.535612,9.733912005,3.744477633,1.84535989,86.71270096,20.61871058,6.041840829,18.19910121,11.62981856,23.52059013,5.969305288,15.63473206,16.87223022,12.46266245,0,36.02576334,16.99512464,11.21535881,5.563451492,30.46231185,83.56,12.01114612,9.901064579,0,6.420821623,16.46637642,0,0,10.717646,0,0,13.66910935,11.62630134,5.522782029,-1.110850813,7.07228773,2.22037037,0,0.181818182,15,4,4,2,2,4,3,2,-0.9292,53.6858,0,0,1,1
3.531209738,-13.0473,11.24430933,-0.452962963,11.24430933,0.148660242,0.673439499,195.194,184.106,195.0662824,76,0.337745993,-0.869965289,0.869965289,0.337745993,1.5,2.214285714,2.785714286,16.53260411,10.17710624,2.065737034,-2.122151676,2.233357725,-2.053039383,5.897020943,-0.269589033,2.940794971,332.8939251,10.55204176,8.072150751,8.072150751,6.68507051,4.208560659,4.208560659,2.586108568,2.586108568,1.674761402,1.674761402,1.008988689,1.008988689,-1.71,1396.743161,10.37136697,4.504872698,2.157161739,82.07401789,14.5802533,5.749511833,11.8158789,19.05647134,0,19.280131,19.37479049,5.969305288,6.9237372,13.71667951,23.7625527,19.68598479,4.736862954,17.28172588,18.19910121,58.59,5.969305288,9.901064579,11.49902367,12.17033346,0,25.30889875,6.9237372,0,9.473725908,9.564409722,11.24430933,11.10580743,0.3225,-0.553794879,4.077638889,0,2.025173769,0.3,14,0,4,4,0,4,3,1,0.9455,48.3965,0,0,1,1
3.36053941,-77.6921,11.10656557,-0.811987906,11.10656557,0.076712963,0.52694374,197.166,188.094,197.045547,76,0.337729427,-0.869861585,0.869861585,0.337729427,1.5,2.142857143,2.642857143,16.53233821,10.16118368,2.096512021,-2.111833185,2.33025118,-2.050725828,5.905029145,-0.269898686,3.060453483,335.2151008,10.71517847,7.480979382,7.480979382,6.55774931,3.960068485,3.960068485,2.562585095,2.562585095,1.56596456,1.56596456,0.92541832,0.92541832,-1.91,1178.316022,10.17271299,3.865714294,1.874415096,80.18399805,20.05644514,5.749511833,11.8158789,12.99010427,0,12.17033346,24.85098232,5.969305288,6.9237372,6.606881965,17.69618563,22.78924204,4.736862954,17.28172588,12.13273414,89.82,23.21784079,9.901064579,12.17033346,0,12.13273414,0,6.9237372,4.736862954,10.21305479,4.607220333,11.10656557,28.91964372,-0.076712963,-2.9105976,1.890648148,0,1.796566122,0.222222222,14,2,5,5,2,5,2,1,0.3481,45.1741,0,0,1,1
4.452028492,-20.5333,10.67761291,0.435324074,10.67761291,0.435324074,0.68478218,196.202,184.106,196.0735589,76,0.16395509,-0.495863523,0.495863523,0.16395509,0.928571429,1.428571429,1.857142857,16.51037595,10.16563668,2.099123181,-2.102542898,2.329963769,-1.955135762,5.808471086,0.111534306,3.271451643,333.1390376,10.55204176,8.365043969,8.365043969,6.761080115,4.01619524,4.01619524,2.566992812,2.566992812,1.862860646,1.862860646,1.144932363,1.144932363,-1.71,1559.969829,10.37136697,4.504872698,1.787420217,82.39332937,14.21058886,5.749511833,0,6.066367068,6.066367068,26.89284412,19.00512605,6.286160523,0,21.32939262,17.69618563,27.61555315,0,10.35798868,12.13273414,44.76,0,4.794537184,0,29.09814751,0,21.32939262,12.13273414,0,14.21058886,15.10743481,10.67761291,0,0.435324074,1.516666667,3.187731481,0.70912037,0,0.3,14,0,4,4,0,4,4,1,1.5249,51.4855,0,0,1,1
7.214940793,-13.4173,11.38236541,-0.953696331,11.38236541,0.103101852,0.247608776,358.563,316.227,358.3083098,150,0.305374101,-0.462823382,0.462823382,0.305374101,0.76,1.16,1.56,16.54214004,10.0381854,2.067251647,-2.078379245,2.133391652,-2.212960262,5.687464216,-0.146964706,3.124618449,281.0696145,18.58972938,16.5161961,16.5161961,12.20190726,10.64850683,10.64850683,7.219157862,7.219157862,4.631911035,4.631911035,2.954670943,2.954670943,-0.61,260449.3252,24.39,19.71127915,19.56101325,154.9016281,14.94991774,12.71084835,96.81523992,6.420821623,6.420821623,6.606881965,19.74445493,5.969305288,115.7608496,13.21376393,0,35.50009039,9.531400138,109.6568832,0,66.76,6.103966388,4.794537184,19.18306922,6.420821623,12.84164325,83.4706811,0,6.9237372,14.94991774,4.864876631,11.38236541,17.70670373,0,-0.275746202,0,19.02881761,1.792982824,0.952380952,25,2,4,4,2,4,19,0,5.1443,103.5976,2,2,1,1
4.591336126,-94.7721,9.740857899,-1.426284958,9.740857899,0.4600274,0.545699248,256.254,240.126,256.0946882,100,0.228720535,-0.461987156,0.461987156,0.228720535,1,1.666666667,2.277777778,16.70526801,9.992725651,2.441310864,-2.390387524,2.233594838,-2.595663676,5.209084915,-0.277056771,2.076535233,368.0902017,13.12095586,9.585960436,9.585960436,8.630228955,5.654320588,5.654320588,4.128180332,4.128180332,2.843891335,2.843891335,1.797916033,1.797916033,-1.18,13398.94151,13.25633744,5.6402627,2.627768706,104.0192501,29.89983549,30.16537738,18.19910121,12.13273414,0,6.606881965,29.89983549,0,30.70589228,6.606881965,30.33183534,57.73888382,4.736862954,0,30.33183534,99.38,37.31277424,15.31958218,0,5.749511833,0,0,30.33183534,0,14.5802533,10.5661678,0,37.92313901,0,0.4600274,8.640599595,-6.283977807,-0.472622669,0.5,18,4,6,6,4,6,3,2,-1.1347,60.8372,4,4,0,0
4.838302658,-55.6998,13.65320547,-1.395275416,13.65320547,0.071226222,0.240763512,413.578,376.282,413.2697332,166,0.179635729,-0.871610192,0.871610192,0.179635729,0.9,1.366666667,1.766666667,16.27441433,9.63913714,2.494313788,-2.390231786,2.436538939,-2.467243935,6.244891357,-0.29911254,3.855091182,812.2593762,23.22325016,19.80978667,19.80978667,13.82881669,10.6539119,10.6539119,9.424493259,9.424493259,5.193747288,5.193747288,3.441619226,3.441619226,-2.36,1358178.026,25.67617945,10.60383262,6.070326263,181.3204693,10.21305479,11.17415534,54.55401318,72.29589864,11.99392615,0,19.80212916,11.56648989,81.07318409,0,57.61191271,16.67301729,9.589074368,81.07318409,57.61191271,77.43,22.74064523,19.80212916,48.50656647,0,16.71931359,0,0,0,0,0,27.27875929,23.90996772,1.456600923,-1.716415501,0,6.376863426,15.27755748,0.538461538,30,1,4,4,1,4,8,1,5.6661,120.7268,1,1,2,2
4.739523142,-173.23,10.85601805,-0.649302721,10.85601805,0.228194444,0.616550342,181.167,172.095,181.0506323,70,0.28366513,-0.869823468,0.869823468,0.28366513,1.615384615,2.307692308,2.846153846,16.59144794,10.09064985,2.067577437,-2.128584606,2.126564795,-2.157992635,6.032676524,-0.297068419,2.90642505,309.5763913,9.844934983,7.111116056,7.111116056,6.147065708,3.819795021,3.819795021,2.399679508,2.399679508,1.471720671,1.471720671,0.861154237,0.861154237,-1.71,795.6618715,9.378573959,3.798672318,2.113961263,75.44768253,14.94991774,0,11.83518498,19.07577741,0,12.17998649,19.74445493,5.783244946,6.9237372,6.606881965,35.50555494,17.49665431,9.531400138,6.9237372,35.50555494,69.59,11.54240982,15.00759197,11.51832974,6.606881965,12.15204021,6.076020107,6.9237372,0,4.736862954,4.754034392,10.70746559,20.0453784,0.228194444,-1.572776361,0,3.495,2.009370197,0.222222222,13,1,4,4,1,4,2,1,0.1756,43.5108,1,1,1,1
